configuration_id,run_id,checkpoint_path,checkpoint_bytes,shard_index
autocorrelation__extra_trees__large__frac_0.20,autocorrelation__extra_trees__large__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__large__frac_0.20__seed3407.joblib,73344650,3
autocorrelation__extra_trees__large__frac_0.40,autocorrelation__extra_trees__large__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__large__frac_0.40__seed3407.joblib,144400490,3
autocorrelation__extra_trees__large__frac_0.60,autocorrelation__extra_trees__large__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__large__frac_0.60__seed3407.joblib,213472010,3
autocorrelation__extra_trees__large__frac_0.80,autocorrelation__extra_trees__large__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__large__frac_0.80__seed3407.joblib,281316650,3
autocorrelation__extra_trees__large__frac_1.00,autocorrelation__extra_trees__large__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__large__frac_1.00__seed3407.joblib,348972170,3
autocorrelation__extra_trees__medium__frac_0.20,autocorrelation__extra_trees__medium__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__medium__frac_0.20__seed3407.joblib,34134174,3
autocorrelation__extra_trees__medium__frac_0.40,autocorrelation__extra_trees__medium__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__medium__frac_0.40__seed3407.joblib,60196494,3
autocorrelation__extra_trees__medium__frac_0.60,autocorrelation__extra_trees__medium__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__medium__frac_0.60__seed3407.joblib,80834574,3
autocorrelation__extra_trees__medium__frac_0.80,autocorrelation__extra_trees__medium__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__medium__frac_0.80__seed3407.joblib,99327054,3
autocorrelation__extra_trees__medium__frac_1.00,autocorrelation__extra_trees__medium__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__medium__frac_1.00__seed3407.joblib,114917934,3
autocorrelation__extra_trees__small__frac_0.20,autocorrelation__extra_trees__small__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__small__frac_0.20__seed3407.joblib,2708410,3
autocorrelation__extra_trees__small__frac_0.40,autocorrelation__extra_trees__small__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__small__frac_0.40__seed3407.joblib,3027130,3
autocorrelation__extra_trees__small__frac_0.60,autocorrelation__extra_trees__small__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__small__frac_0.60__seed3407.joblib,3225850,3
autocorrelation__extra_trees__small__frac_0.80,autocorrelation__extra_trees__small__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__small__frac_0.80__seed3407.joblib,3332650,3
autocorrelation__extra_trees__small__frac_1.00,autocorrelation__extra_trees__small__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__extra_trees__small__frac_1.00__seed3407.joblib,3378490,3
autocorrelation__hist_gradient_boosting__large__frac_0.20,autocorrelation__hist_gradient_boosting__large__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__large__frac_0.20__seed3407.joblib,8272272,3
autocorrelation__hist_gradient_boosting__large__frac_0.40,autocorrelation__hist_gradient_boosting__large__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__large__frac_0.40__seed3407.joblib,15512960,3
autocorrelation__hist_gradient_boosting__large__frac_0.60,autocorrelation__hist_gradient_boosting__large__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__large__frac_0.60__seed3407.joblib,16994832,3
autocorrelation__hist_gradient_boosting__large__frac_0.80,autocorrelation__hist_gradient_boosting__large__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__large__frac_0.80__seed3407.joblib,17656752,3
autocorrelation__hist_gradient_boosting__large__frac_1.00,autocorrelation__hist_gradient_boosting__large__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__large__frac_1.00__seed3407.joblib,17710736,3
autocorrelation__hist_gradient_boosting__medium__frac_0.20,autocorrelation__hist_gradient_boosting__medium__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__medium__frac_0.20__seed3407.joblib,4938722,3
autocorrelation__hist_gradient_boosting__medium__frac_0.40,autocorrelation__hist_gradient_boosting__medium__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__medium__frac_0.40__seed3407.joblib,5099666,3
autocorrelation__hist_gradient_boosting__medium__frac_0.60,autocorrelation__hist_gradient_boosting__medium__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__medium__frac_0.60__seed3407.joblib,5099778,3
autocorrelation__hist_gradient_boosting__medium__frac_0.80,autocorrelation__hist_gradient_boosting__medium__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__medium__frac_0.80__seed3407.joblib,5099778,3
autocorrelation__hist_gradient_boosting__medium__frac_1.00,autocorrelation__hist_gradient_boosting__medium__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__medium__frac_1.00__seed3407.joblib,5099778,3
autocorrelation__hist_gradient_boosting__small__frac_0.20,autocorrelation__hist_gradient_boosting__small__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__small__frac_0.20__seed3407.joblib,1286271,3
autocorrelation__hist_gradient_boosting__small__frac_0.40,autocorrelation__hist_gradient_boosting__small__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__small__frac_0.40__seed3407.joblib,1286271,3
autocorrelation__hist_gradient_boosting__small__frac_0.60,autocorrelation__hist_gradient_boosting__small__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__small__frac_0.60__seed3407.joblib,1286271,3
autocorrelation__hist_gradient_boosting__small__frac_0.80,autocorrelation__hist_gradient_boosting__small__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__small__frac_0.80__seed3407.joblib,1286271,3
autocorrelation__hist_gradient_boosting__small__frac_1.00,autocorrelation__hist_gradient_boosting__small__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__hist_gradient_boosting__small__frac_1.00__seed3407.joblib,1286271,3
autocorrelation__knn__large__frac_0.20,autocorrelation__knn__large__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__large__frac_0.20__seed3407.joblib,111242,2
autocorrelation__knn__large__frac_0.40,autocorrelation__knn__large__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__large__frac_0.40__seed3407.joblib,219370,2
autocorrelation__knn__large__frac_0.60,autocorrelation__knn__large__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__large__frac_0.60__seed3407.joblib,327626,2
autocorrelation__knn__large__frac_0.80,autocorrelation__knn__large__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__large__frac_0.80__seed3407.joblib,435738,2
autocorrelation__knn__large__frac_1.00,autocorrelation__knn__large__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__large__frac_1.00__seed3407.joblib,543594,2
autocorrelation__knn__medium__frac_0.20,autocorrelation__knn__medium__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__medium__frac_0.20__seed3407.joblib,59789,2
autocorrelation__knn__medium__frac_0.40,autocorrelation__knn__medium__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__medium__frac_0.40__seed3407.joblib,117037,2
autocorrelation__knn__medium__frac_0.60,autocorrelation__knn__medium__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__medium__frac_0.60__seed3407.joblib,174349,2
autocorrelation__knn__medium__frac_0.80,autocorrelation__knn__medium__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__medium__frac_0.80__seed3407.joblib,231581,2
autocorrelation__knn__medium__frac_1.00,autocorrelation__knn__medium__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__medium__frac_1.00__seed3407.joblib,288685,2
autocorrelation__knn__small__frac_0.20,autocorrelation__knn__small__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__small__frac_0.20__seed3407.joblib,97132,2
autocorrelation__knn__small__frac_0.40,autocorrelation__knn__small__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__small__frac_0.40__seed3407.joblib,191292,2
autocorrelation__knn__small__frac_0.60,autocorrelation__knn__small__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__small__frac_0.60__seed3407.joblib,290684,2
autocorrelation__knn__small__frac_0.80,autocorrelation__knn__small__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__small__frac_0.80__seed3407.joblib,379724,2
autocorrelation__knn__small__frac_1.00,autocorrelation__knn__small__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__knn__small__frac_1.00__seed3407.joblib,489020,2
autocorrelation__lda__large__frac_0.20,autocorrelation__lda__large__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__large__frac_0.20__seed3407.joblib,22187,3
autocorrelation__lda__large__frac_0.40,autocorrelation__lda__large__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__large__frac_0.40__seed3407.joblib,22187,3
autocorrelation__lda__large__frac_0.60,autocorrelation__lda__large__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__large__frac_0.60__seed3407.joblib,22187,3
autocorrelation__lda__large__frac_0.80,autocorrelation__lda__large__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__large__frac_0.80__seed3407.joblib,22187,3
autocorrelation__lda__large__frac_1.00,autocorrelation__lda__large__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__large__frac_1.00__seed3407.joblib,22187,3
autocorrelation__lda__medium__frac_0.20,autocorrelation__lda__medium__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__medium__frac_0.20__seed3407.joblib,5934,3
autocorrelation__lda__medium__frac_0.40,autocorrelation__lda__medium__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__medium__frac_0.40__seed3407.joblib,5934,3
autocorrelation__lda__medium__frac_0.60,autocorrelation__lda__medium__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__medium__frac_0.60__seed3407.joblib,5934,3
autocorrelation__lda__medium__frac_0.80,autocorrelation__lda__medium__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__medium__frac_0.80__seed3407.joblib,5934,3
autocorrelation__lda__medium__frac_1.00,autocorrelation__lda__medium__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__medium__frac_1.00__seed3407.joblib,5934,3
autocorrelation__lda__small__frac_0.20,autocorrelation__lda__small__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__small__frac_0.20__seed3407.joblib,3154,3
autocorrelation__lda__small__frac_0.40,autocorrelation__lda__small__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__small__frac_0.40__seed3407.joblib,3154,3
autocorrelation__lda__small__frac_0.60,autocorrelation__lda__small__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__small__frac_0.60__seed3407.joblib,3154,3
autocorrelation__lda__small__frac_0.80,autocorrelation__lda__small__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__small__frac_0.80__seed3407.joblib,3154,3
autocorrelation__lda__small__frac_1.00,autocorrelation__lda__small__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__lda__small__frac_1.00__seed3407.joblib,3154,3
autocorrelation__linear_svm__large__frac_0.20,autocorrelation__linear_svm__large__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__large__frac_0.20__seed3407.joblib,4456,2
autocorrelation__linear_svm__large__frac_0.40,autocorrelation__linear_svm__large__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__large__frac_0.40__seed3407.joblib,4456,2
autocorrelation__linear_svm__large__frac_0.60,autocorrelation__linear_svm__large__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__large__frac_0.60__seed3407.joblib,4456,2
autocorrelation__linear_svm__large__frac_0.80,autocorrelation__linear_svm__large__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__large__frac_0.80__seed3407.joblib,4456,2
autocorrelation__linear_svm__large__frac_1.00,autocorrelation__linear_svm__large__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__large__frac_1.00__seed3407.joblib,4456,2
autocorrelation__linear_svm__medium__frac_0.20,autocorrelation__linear_svm__medium__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__medium__frac_0.20__seed3407.joblib,3179,2
autocorrelation__linear_svm__medium__frac_0.40,autocorrelation__linear_svm__medium__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__medium__frac_0.40__seed3407.joblib,3179,2
autocorrelation__linear_svm__medium__frac_0.60,autocorrelation__linear_svm__medium__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__medium__frac_0.60__seed3407.joblib,3179,2
autocorrelation__linear_svm__medium__frac_0.80,autocorrelation__linear_svm__medium__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__medium__frac_0.80__seed3407.joblib,3179,2
autocorrelation__linear_svm__medium__frac_1.00,autocorrelation__linear_svm__medium__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__medium__frac_1.00__seed3407.joblib,3179,2
autocorrelation__linear_svm__small__frac_0.20,autocorrelation__linear_svm__small__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__small__frac_0.20__seed3407.joblib,2536,2
autocorrelation__linear_svm__small__frac_0.40,autocorrelation__linear_svm__small__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__small__frac_0.40__seed3407.joblib,2536,2
autocorrelation__linear_svm__small__frac_0.60,autocorrelation__linear_svm__small__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__small__frac_0.60__seed3407.joblib,2536,2
autocorrelation__linear_svm__small__frac_0.80,autocorrelation__linear_svm__small__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__small__frac_0.80__seed3407.joblib,2536,2
autocorrelation__linear_svm__small__frac_1.00,autocorrelation__linear_svm__small__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__linear_svm__small__frac_1.00__seed3407.joblib,2536,2
autocorrelation__logistic_regression__large__frac_0.20,autocorrelation__logistic_regression__large__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__large__frac_0.20__seed3407.joblib,4642,2
autocorrelation__logistic_regression__large__frac_0.40,autocorrelation__logistic_regression__large__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__large__frac_0.40__seed3407.joblib,4642,2
autocorrelation__logistic_regression__large__frac_0.60,autocorrelation__logistic_regression__large__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__large__frac_0.60__seed3407.joblib,4642,2
autocorrelation__logistic_regression__large__frac_0.80,autocorrelation__logistic_regression__large__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__large__frac_0.80__seed3407.joblib,4642,2
autocorrelation__logistic_regression__large__frac_1.00,autocorrelation__logistic_regression__large__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__large__frac_1.00__seed3407.joblib,4642,2
autocorrelation__logistic_regression__medium__frac_0.20,autocorrelation__logistic_regression__medium__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__medium__frac_0.20__seed3407.joblib,3365,2
autocorrelation__logistic_regression__medium__frac_0.40,autocorrelation__logistic_regression__medium__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__medium__frac_0.40__seed3407.joblib,3365,2
autocorrelation__logistic_regression__medium__frac_0.60,autocorrelation__logistic_regression__medium__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__medium__frac_0.60__seed3407.joblib,3365,2
autocorrelation__logistic_regression__medium__frac_0.80,autocorrelation__logistic_regression__medium__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__medium__frac_0.80__seed3407.joblib,3365,2
autocorrelation__logistic_regression__medium__frac_1.00,autocorrelation__logistic_regression__medium__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__medium__frac_1.00__seed3407.joblib,3365,2
autocorrelation__logistic_regression__small__frac_0.20,autocorrelation__logistic_regression__small__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__small__frac_0.20__seed3407.joblib,2722,2
autocorrelation__logistic_regression__small__frac_0.40,autocorrelation__logistic_regression__small__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__small__frac_0.40__seed3407.joblib,2722,2
autocorrelation__logistic_regression__small__frac_0.60,autocorrelation__logistic_regression__small__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__small__frac_0.60__seed3407.joblib,2722,2
autocorrelation__logistic_regression__small__frac_0.80,autocorrelation__logistic_regression__small__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__small__frac_0.80__seed3407.joblib,2722,2
autocorrelation__logistic_regression__small__frac_1.00,autocorrelation__logistic_regression__small__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__logistic_regression__small__frac_1.00__seed3407.joblib,2722,2
autocorrelation__random_forest__large__frac_0.20,autocorrelation__random_forest__large__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__large__frac_0.20__seed3407.joblib,32822592,3
autocorrelation__random_forest__large__frac_0.40,autocorrelation__random_forest__large__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__large__frac_0.40__seed3407.joblib,63594912,3
autocorrelation__random_forest__large__frac_0.60,autocorrelation__random_forest__large__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__large__frac_0.60__seed3407.joblib,93582672,3
autocorrelation__random_forest__large__frac_0.80,autocorrelation__random_forest__large__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__large__frac_0.80__seed3407.joblib,122472672,3
autocorrelation__random_forest__large__frac_1.00,autocorrelation__random_forest__large__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__large__frac_1.00__seed3407.joblib,151341792,3
autocorrelation__random_forest__medium__frac_0.20,autocorrelation__random_forest__medium__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__medium__frac_0.20__seed3407.joblib,16459156,3
autocorrelation__random_forest__medium__frac_0.40,autocorrelation__random_forest__medium__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__medium__frac_0.40__seed3407.joblib,30856996,3
autocorrelation__random_forest__medium__frac_0.60,autocorrelation__random_forest__medium__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__medium__frac_0.60__seed3407.joblib,44208196,3
autocorrelation__random_forest__medium__frac_0.80,autocorrelation__random_forest__medium__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__medium__frac_0.80__seed3407.joblib,56550676,3
autocorrelation__random_forest__medium__frac_1.00,autocorrelation__random_forest__medium__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__medium__frac_1.00__seed3407.joblib,68129716,3
autocorrelation__random_forest__small__frac_0.20,autocorrelation__random_forest__small__frac_0.20__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__small__frac_0.20__seed3407.joblib,2672672,3
autocorrelation__random_forest__small__frac_0.40,autocorrelation__random_forest__small__frac_0.40__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__small__frac_0.40__seed3407.joblib,3299072,3
autocorrelation__random_forest__small__frac_0.60,autocorrelation__random_forest__small__frac_0.60__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__small__frac_0.60__seed3407.joblib,3720992,3
autocorrelation__random_forest__small__frac_0.80,autocorrelation__random_forest__small__frac_0.80__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__small__frac_0.80__seed3407.joblib,3993152,3
autocorrelation__random_forest__small__frac_1.00,autocorrelation__random_forest__small__frac_1.00__seed3407,classical_shards/shard_3/checkpoints/classical_bank/autocorrelation__random_forest__small__frac_1.00__seed3407.joblib,4172192,3
autocorrelation__rbf_svm__large__frac_0.20,autocorrelation__rbf_svm__large__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__large__frac_0.20__seed3407.joblib,256762,2
autocorrelation__rbf_svm__large__frac_0.40,autocorrelation__rbf_svm__large__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__large__frac_0.40__seed3407.joblib,489946,2
autocorrelation__rbf_svm__large__frac_0.60,autocorrelation__rbf_svm__large__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__large__frac_0.60__seed3407.joblib,713514,2
autocorrelation__rbf_svm__large__frac_0.80,autocorrelation__rbf_svm__large__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__large__frac_0.80__seed3407.joblib,940634,2
autocorrelation__rbf_svm__large__frac_1.00,autocorrelation__rbf_svm__large__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__large__frac_1.00__seed3407.joblib,1168122,2
autocorrelation__rbf_svm__medium__frac_0.20,autocorrelation__rbf_svm__medium__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__medium__frac_0.20__seed3407.joblib,167805,2
autocorrelation__rbf_svm__medium__frac_0.40,autocorrelation__rbf_svm__medium__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__medium__frac_0.40__seed3407.joblib,318733,2
autocorrelation__rbf_svm__medium__frac_0.60,autocorrelation__rbf_svm__medium__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__medium__frac_0.60__seed3407.joblib,462829,2
autocorrelation__rbf_svm__medium__frac_0.80,autocorrelation__rbf_svm__medium__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__medium__frac_0.80__seed3407.joblib,611949,2
autocorrelation__rbf_svm__medium__frac_1.00,autocorrelation__rbf_svm__medium__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__medium__frac_1.00__seed3407.joblib,755581,2
autocorrelation__rbf_svm__small__frac_0.20,autocorrelation__rbf_svm__small__frac_0.20__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__small__frac_0.20__seed3407.joblib,126938,2
autocorrelation__rbf_svm__small__frac_0.40,autocorrelation__rbf_svm__small__frac_0.40__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__small__frac_0.40__seed3407.joblib,240922,2
autocorrelation__rbf_svm__small__frac_0.60,autocorrelation__rbf_svm__small__frac_0.60__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__small__frac_0.60__seed3407.joblib,350138,2
autocorrelation__rbf_svm__small__frac_0.80,autocorrelation__rbf_svm__small__frac_0.80__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__small__frac_0.80__seed3407.joblib,460186,2
autocorrelation__rbf_svm__small__frac_1.00,autocorrelation__rbf_svm__small__frac_1.00__seed3407,classical_shards/shard_2/checkpoints/classical_bank/autocorrelation__rbf_svm__small__frac_1.00__seed3407.joblib,567274,2
dwt_energy__extra_trees__large__frac_0.20,dwt_energy__extra_trees__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__large__frac_0.20__seed3407.joblib,81310241,1
dwt_energy__extra_trees__large__frac_0.40,dwt_energy__extra_trees__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__large__frac_0.40__seed3407.joblib,159580961,1
dwt_energy__extra_trees__large__frac_0.60,dwt_energy__extra_trees__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__large__frac_0.60__seed3407.joblib,237987521,1
dwt_energy__extra_trees__large__frac_0.80,dwt_energy__extra_trees__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__large__frac_0.80__seed3407.joblib,315495521,1
dwt_energy__extra_trees__large__frac_1.00,dwt_energy__extra_trees__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__large__frac_1.00__seed3407.joblib,394882961,1
