dataset,configuration_id,base_configuration_id,feature_family,feature_capacity,feature_params,classifier,classifier_family,classifier_capacity,classifier_params,train_fraction,subset_seed,protocol_hash
UT_HAR,autocorrelation__extra_trees__large__frac_0.20,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__large__frac_0.40,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__large__frac_0.60,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__large__frac_0.80,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__large__frac_1.00,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__medium__frac_0.20,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__medium__frac_0.40,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__medium__frac_0.60,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__medium__frac_0.80,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__medium__frac_1.00,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__small__frac_0.20,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__small__frac_0.40,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__small__frac_0.60,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__small__frac_0.80,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__extra_trees__small__frac_1.00,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.20,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.40,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.60,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.80,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_1.00,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.20,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.40,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.60,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.80,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_1.00,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.20,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.40,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.60,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.80,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_1.00,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__large__frac_0.20,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__large__frac_0.40,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__large__frac_0.60,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__large__frac_0.80,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__large__frac_1.00,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__medium__frac_0.20,autocorrelation__knn__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",knn,instance_based,medium,"{'n_neighbors': 7, 'weights': 'distance'}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__medium__frac_0.40,autocorrelation__knn__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",knn,instance_based,medium,"{'n_neighbors': 7, 'weights': 'distance'}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__medium__frac_0.60,autocorrelation__knn__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",knn,instance_based,medium,"{'n_neighbors': 7, 'weights': 'distance'}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__medium__frac_0.80,autocorrelation__knn__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",knn,instance_based,medium,"{'n_neighbors': 7, 'weights': 'distance'}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__medium__frac_1.00,autocorrelation__knn__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",knn,instance_based,medium,"{'n_neighbors': 7, 'weights': 'distance'}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__small__frac_0.20,autocorrelation__knn__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",knn,instance_based,small,"{'n_neighbors': 11, 'weights': 'uniform'}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__small__frac_0.40,autocorrelation__knn__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",knn,instance_based,small,"{'n_neighbors': 11, 'weights': 'uniform'}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__small__frac_0.60,autocorrelation__knn__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",knn,instance_based,small,"{'n_neighbors': 11, 'weights': 'uniform'}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__small__frac_0.80,autocorrelation__knn__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",knn,instance_based,small,"{'n_neighbors': 11, 'weights': 'uniform'}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__knn__small__frac_1.00,autocorrelation__knn__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",knn,instance_based,small,"{'n_neighbors': 11, 'weights': 'uniform'}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__large__frac_0.20,autocorrelation__lda__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",lda,linear_discriminant,large,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__large__frac_0.40,autocorrelation__lda__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",lda,linear_discriminant,large,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__large__frac_0.60,autocorrelation__lda__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",lda,linear_discriminant,large,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__large__frac_0.80,autocorrelation__lda__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",lda,linear_discriminant,large,"{'solver': 'eigen', 'shrinkage': 'auto'}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__large__frac_1.00,autocorrelation__lda__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",lda,linear_discriminant,large,"{'solver': 'eigen', 'shrinkage': 'auto'}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__medium__frac_0.20,autocorrelation__lda__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",lda,linear_discriminant,medium,"{'solver': 'lsqr', 'shrinkage': 'auto'}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__medium__frac_0.40,autocorrelation__lda__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",lda,linear_discriminant,medium,"{'solver': 'lsqr', 'shrinkage': 'auto'}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__medium__frac_0.60,autocorrelation__lda__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",lda,linear_discriminant,medium,"{'solver': 'lsqr', 'shrinkage': 'auto'}",0.6,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__medium__frac_0.80,autocorrelation__lda__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",lda,linear_discriminant,medium,"{'solver': 'lsqr', 'shrinkage': 'auto'}",0.8,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__medium__frac_1.00,autocorrelation__lda__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",lda,linear_discriminant,medium,"{'solver': 'lsqr', 'shrinkage': 'auto'}",1.0,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__small__frac_0.20,autocorrelation__lda__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",lda,linear_discriminant,small,"{'solver': 'svd', 'shrinkage': None}",0.2,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__small__frac_0.40,autocorrelation__lda__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",lda,linear_discriminant,small,"{'solver': 'svd', 'shrinkage': None}",0.4,3407,8a3568eb591e
UT_HAR,autocorrelation__lda__small__frac_0.60,autocorrelation__lda__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",lda,linear_discriminant,small,"{'solver': 'svd', 'shrinkage': None}",0.6,3407,8a3568eb591e
