configuration_id,run_id,checkpoint_path,checkpoint_bytes,param_count
deep__MLP__small__seed42,deep__MLP__small__seed42,checkpoints/deep_bank/deep__MLP__small__seed42.pt,11558770,2888839
deep__MLP__small__seed123,deep__MLP__small__seed123,checkpoints/deep_bank/deep__MLP__small__seed123.pt,11558780,2888839
deep__MLP__small__seed2026,deep__MLP__small__seed2026,checkpoints/deep_bank/deep__MLP__small__seed2026.pt,11558790,2888839
deep__MLP__medium__seed42,deep__MLP__medium__seed42,checkpoints/deep_bank/deep__MLP__medium__seed42.pt,23179644,5794055
deep__MLP__medium__seed123,deep__MLP__medium__seed123,checkpoints/deep_bank/deep__MLP__medium__seed123.pt,23179654,5794055
deep__MLP__medium__seed2026,deep__MLP__medium__seed2026,checkpoints/deep_bank/deep__MLP__medium__seed2026.pt,23179728,5794055
deep__MLP__large__seed42,deep__MLP__large__seed42,checkpoints/deep_bank/deep__MLP__large__seed42.pt,46746636,11685639
deep__MLP__large__seed123,deep__MLP__large__seed123,checkpoints/deep_bank/deep__MLP__large__seed123.pt,46746648,11685639
deep__MLP__large__seed2026,deep__MLP__large__seed2026,checkpoints/deep_bank/deep__MLP__large__seed2026.pt,46746660,11685639
deep__CNN__small__seed42,deep__CNN__small__seed42,checkpoints/deep_bank/deep__CNN__small__seed42.pt,27386,5127
deep__CNN__small__seed123,deep__CNN__small__seed123,checkpoints/deep_bank/deep__CNN__small__seed123.pt,27406,5127
deep__CNN__small__seed2026,deep__CNN__small__seed2026,checkpoints/deep_bank/deep__CNN__small__seed2026.pt,27426,5127
deep__CNN__medium__seed42,deep__CNN__medium__seed42,checkpoints/deep_bank/deep__CNN__medium__seed42.pt,311351,75271
deep__CNN__medium__seed123,deep__CNN__medium__seed123,checkpoints/deep_bank/deep__CNN__medium__seed123.pt,311378,75271
deep__CNN__medium__seed2026,deep__CNN__medium__seed2026,checkpoints/deep_bank/deep__CNN__medium__seed2026.pt,311405,75271
deep__CNN__large__seed42,deep__CNN__large__seed42,checkpoints/deep_bank/deep__CNN__large__seed42.pt,1279422,316231
deep__CNN__large__seed123,deep__CNN__large__seed123,checkpoints/deep_bank/deep__CNN__large__seed123.pt,1279456,316231
deep__CNN__large__seed2026,deep__CNN__large__seed2026,checkpoints/deep_bank/deep__CNN__large__seed2026.pt,1279490,316231
deep__GRU__small__seed42,deep__GRU__small__seed42,checkpoints/deep_bank/deep__GRU__small__seed42.pt,124299,30407
deep__GRU__small__seed123,deep__GRU__small__seed123,checkpoints/deep_bank/deep__GRU__small__seed123.pt,124306,30407
deep__GRU__small__seed2026,deep__GRU__small__seed2026,checkpoints/deep_bank/deep__GRU__small__seed2026.pt,124313,30407
deep__GRU__medium__seed42,deep__GRU__medium__seed42,checkpoints/deep_bank/deep__GRU__medium__seed42.pt,344274,85383
deep__GRU__medium__seed123,deep__GRU__medium__seed123,checkpoints/deep_bank/deep__GRU__medium__seed123.pt,344281,85383
deep__GRU__medium__seed2026,deep__GRU__medium__seed2026,checkpoints/deep_bank/deep__GRU__medium__seed2026.pt,344288,85383
deep__GRU__large__seed42,deep__GRU__large__seed42,checkpoints/deep_bank/deep__GRU__large__seed42.pt,1552139,387271
deep__GRU__large__seed123,deep__GRU__large__seed123,checkpoints/deep_bank/deep__GRU__large__seed123.pt,1552146,387271
deep__GRU__large__seed2026,deep__GRU__large__seed2026,checkpoints/deep_bank/deep__GRU__large__seed2026.pt,1552153,387271
deep__LSTM__small__seed42,deep__LSTM__small__seed42,checkpoints/deep_bank/deep__LSTM__small__seed42.pt,164242,40391
deep__LSTM__small__seed123,deep__LSTM__small__seed123,checkpoints/deep_bank/deep__LSTM__small__seed123.pt,164249,40391
deep__LSTM__small__seed2026,deep__LSTM__small__seed2026,checkpoints/deep_bank/deep__LSTM__small__seed2026.pt,164256,40391
deep__LSTM__medium__seed42,deep__LSTM__medium__seed42,checkpoints/deep_bank/deep__LSTM__medium__seed42.pt,456921,113543
deep__LSTM__medium__seed123,deep__LSTM__medium__seed123,checkpoints/deep_bank/deep__LSTM__medium__seed123.pt,456928,113543
deep__LSTM__medium__seed2026,deep__LSTM__medium__seed2026,checkpoints/deep_bank/deep__LSTM__medium__seed2026.pt,456935,113543
deep__LSTM__large__seed42,deep__LSTM__large__seed42,checkpoints/deep_bank/deep__LSTM__large__seed42.pt,2066706,515911
deep__LSTM__large__seed123,deep__LSTM__large__seed123,checkpoints/deep_bank/deep__LSTM__large__seed123.pt,2066713,515911
deep__LSTM__large__seed2026,deep__LSTM__large__seed2026,checkpoints/deep_bank/deep__LSTM__large__seed2026.pt,2066720,515911
deep__CNN-GRU__small__seed42,deep__CNN-GRU__small__seed42,checkpoints/deep_bank/deep__CNN-GRU__small__seed42.pt,468971,116231
deep__CNN-GRU__small__seed123,deep__CNN-GRU__small__seed123,checkpoints/deep_bank/deep__CNN-GRU__small__seed123.pt,468982,116231
deep__CNN-GRU__small__seed2026,deep__CNN-GRU__small__seed2026,checkpoints/deep_bank/deep__CNN-GRU__small__seed2026.pt,468993,116231
deep__CNN-GRU__medium__seed42,deep__CNN-GRU__medium__seed42,checkpoints/deep_bank/deep__CNN-GRU__medium__seed42.pt,1393178,347111
deep__CNN-GRU__medium__seed123,deep__CNN-GRU__medium__seed123,checkpoints/deep_bank/deep__CNN-GRU__medium__seed123.pt,1393191,347111
deep__CNN-GRU__medium__seed2026,deep__CNN-GRU__medium__seed2026,checkpoints/deep_bank/deep__CNN-GRU__medium__seed2026.pt,1393204,347111
deep__CNN-GRU__large__seed42,deep__CNN-GRU__large__seed42,checkpoints/deep_bank/deep__CNN-GRU__large__seed42.pt,3566221,890375
deep__CNN-GRU__large__seed123,deep__CNN-GRU__large__seed123,checkpoints/deep_bank/deep__CNN-GRU__large__seed123.pt,3566234,890375
deep__CNN-GRU__large__seed2026,deep__CNN-GRU__large__seed2026,checkpoints/deep_bank/deep__CNN-GRU__large__seed2026.pt,3566247,890375
deep__Transformer__small__seed42,deep__Transformer__small__seed42,checkpoints/deep_bank/deep__Transformer__small__seed42.pt,228402,55047
deep__Transformer__small__seed123,deep__Transformer__small__seed123,checkpoints/deep_bank/deep__Transformer__small__seed123.pt,228426,55047
deep__Transformer__small__seed2026,deep__Transformer__small__seed2026,checkpoints/deep_bank/deep__Transformer__small__seed2026.pt,228450,55047
deep__Transformer__medium__seed42,deep__Transformer__medium__seed42,checkpoints/deep_bank/deep__Transformer__medium__seed42.pt,1245214,308103
deep__Transformer__medium__seed123,deep__Transformer__medium__seed123,checkpoints/deep_bank/deep__Transformer__medium__seed123.pt,1245250,308103
deep__Transformer__medium__seed2026,deep__Transformer__medium__seed2026,checkpoints/deep_bank/deep__Transformer__medium__seed2026.pt,1245286,308103
deep__Transformer__large__seed42,deep__Transformer__large__seed42,checkpoints/deep_bank/deep__Transformer__large__seed42.pt,3840450,955783
deep__Transformer__large__seed123,deep__Transformer__large__seed123,checkpoints/deep_bank/deep__Transformer__large__seed123.pt,3840498,955783
deep__Transformer__large__seed2026,deep__Transformer__large__seed2026,checkpoints/deep_bank/deep__Transformer__large__seed2026.pt,3840546,955783
