dataset,configuration_id,base_configuration_id,feature_family,feature_capacity,feature_params,classifier,classifier_family,classifier_capacity,classifier_params,train_fraction,subset_seed,protocol_hash,timestamp,model_name,run_id,architecture_family,model_group,is_classical,train_seed,model_size,feature_dim,train_size,clean_accuracy,clean_macro_f1,clean_balanced_accuracy,train_time_sec,param_count,best_val_acc,model_params
UT_HAR,autocorrelation__extra_trees__large__frac_0.20,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.2,3407.0,8a3568eb591e,2026-06-20T13:07:07+0000,autocorrelation__extra_trees__large__frac_0.20,autocorrelation__extra_trees__large__frac_0.20__seed3407,classical,tree_ensemble,True,3407,large,32.0,798.0,0.4397590361445783,0.3354626324772257,0.3296876422951759,1.1980409622192385,,,
UT_HAR,autocorrelation__extra_trees__large__frac_0.40,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.4,3407.0,8a3568eb591e,2026-06-20T13:07:41+0000,autocorrelation__extra_trees__large__frac_0.40,autocorrelation__extra_trees__large__frac_0.40__seed3407,classical,tree_ensemble,True,3407,large,32.0,1593.0,0.4417670682730923,0.3126845022683108,0.3123961951904021,1.6988625526428225,,,
UT_HAR,autocorrelation__extra_trees__large__frac_0.60,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.6,3407.0,8a3568eb591e,2026-06-20T13:08:20+0000,autocorrelation__extra_trees__large__frac_0.60,autocorrelation__extra_trees__large__frac_0.60__seed3407,classical,tree_ensemble,True,3407,large,32.0,2389.0,0.4568273092369478,0.3166645493809291,0.3175308364554051,1.687805414199829,,,
UT_HAR,autocorrelation__extra_trees__large__frac_0.80,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",0.8,3407.0,8a3568eb591e,2026-06-20T13:08:54+0000,autocorrelation__extra_trees__large__frac_0.80,autocorrelation__extra_trees__large__frac_0.80__seed3407,classical,tree_ensemble,True,3407,large,32.0,3184.0,0.4588353413654618,0.3112750421235635,0.3146895768472455,1.663060426712036,,,
UT_HAR,autocorrelation__extra_trees__large__frac_1.00,autocorrelation__extra_trees__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",extra_trees,tree_ensemble,large,"{'n_estimators': 600, 'max_depth': None}",1.0,3407.0,8a3568eb591e,2026-06-20T13:09:28+0000,autocorrelation__extra_trees__large__frac_1.00,autocorrelation__extra_trees__large__frac_1.00__seed3407,classical,tree_ensemble,True,3407,large,32.0,3977.0,0.4718875502008032,0.3307800596422997,0.330610373156248,1.8018436431884768,,,
UT_HAR,autocorrelation__extra_trees__medium__frac_0.20,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.2,3407.0,8a3568eb591e,2026-06-20T13:05:41+0000,autocorrelation__extra_trees__medium__frac_0.20,autocorrelation__extra_trees__medium__frac_0.20__seed3407,classical,tree_ensemble,True,3407,medium,16.0,798.0,0.4528112449799197,0.34194865686204,0.3378302877467731,0.5698106288909912,,,
UT_HAR,autocorrelation__extra_trees__medium__frac_0.40,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.4,3407.0,8a3568eb591e,2026-06-20T13:05:59+0000,autocorrelation__extra_trees__medium__frac_0.40,autocorrelation__extra_trees__medium__frac_0.40__seed3407,classical,tree_ensemble,True,3407,medium,16.0,1593.0,0.4688755020080321,0.3467381444750222,0.34258047739401,0.612701416015625,,,
UT_HAR,autocorrelation__extra_trees__medium__frac_0.60,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.6,3407.0,8a3568eb591e,2026-06-20T13:06:16+0000,autocorrelation__extra_trees__medium__frac_0.60,autocorrelation__extra_trees__medium__frac_0.60__seed3407,classical,tree_ensemble,True,3407,medium,16.0,2389.0,0.4959839357429719,0.3530341701081815,0.3532244575791017,0.6588866710662842,,,
UT_HAR,autocorrelation__extra_trees__medium__frac_0.80,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",0.8,3407.0,8a3568eb591e,2026-06-20T13:06:33+0000,autocorrelation__extra_trees__medium__frac_0.80,autocorrelation__extra_trees__medium__frac_0.80__seed3407,classical,tree_ensemble,True,3407,medium,16.0,3184.0,0.5150602409638554,0.3761367673091749,0.3728857818880806,0.7541115283966064,,,
UT_HAR,autocorrelation__extra_trees__medium__frac_1.00,autocorrelation__extra_trees__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",extra_trees,tree_ensemble,medium,"{'n_estimators': 300, 'max_depth': 16}",1.0,3407.0,8a3568eb591e,2026-06-20T13:06:50+0000,autocorrelation__extra_trees__medium__frac_1.00,autocorrelation__extra_trees__medium__frac_1.00__seed3407,classical,tree_ensemble,True,3407,medium,16.0,3977.0,0.501004016064257,0.36421903690288,0.362225361287169,0.7436037063598633,,,
UT_HAR,autocorrelation__extra_trees__small__frac_0.20,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.2,3407.0,8a3568eb591e,2026-06-20T13:05:03+0000,autocorrelation__extra_trees__small__frac_0.20,autocorrelation__extra_trees__small__frac_0.20__seed3407,classical,tree_ensemble,True,3407,small,8.0,798.0,0.4528112449799197,0.3178369327636136,0.3160758233646972,0.2417600154876709,,,
UT_HAR,autocorrelation__extra_trees__small__frac_0.40,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.4,3407.0,8a3568eb591e,2026-06-20T13:05:10+0000,autocorrelation__extra_trees__small__frac_0.40,autocorrelation__extra_trees__small__frac_0.40__seed3407,classical,tree_ensemble,True,3407,small,8.0,1593.0,0.4558232931726907,0.2775869649025062,0.2930949549061759,0.2002730369567871,,,
UT_HAR,autocorrelation__extra_trees__small__frac_0.60,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.6,3407.0,8a3568eb591e,2026-06-20T13:05:18+0000,autocorrelation__extra_trees__small__frac_0.60,autocorrelation__extra_trees__small__frac_0.60__seed3407,classical,tree_ensemble,True,3407,small,8.0,2389.0,0.4477911646586345,0.2662219700754877,0.2819794721052678,0.20066499710083,,,
UT_HAR,autocorrelation__extra_trees__small__frac_0.80,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",0.8,3407.0,8a3568eb591e,2026-06-20T13:05:26+0000,autocorrelation__extra_trees__small__frac_0.80,autocorrelation__extra_trees__small__frac_0.80__seed3407,classical,tree_ensemble,True,3407,small,8.0,3184.0,0.4367469879518072,0.2548219425185499,0.2752825201005764,0.2002556324005127,,,
UT_HAR,autocorrelation__extra_trees__small__frac_1.00,autocorrelation__extra_trees__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",extra_trees,tree_ensemble,small,"{'n_estimators': 100, 'max_depth': 8}",1.0,3407.0,8a3568eb591e,2026-06-20T13:05:33+0000,autocorrelation__extra_trees__small__frac_1.00,autocorrelation__extra_trees__small__frac_1.00__seed3407,classical,tree_ensemble,True,3407,small,8.0,3977.0,0.4337349397590361,0.236657525390148,0.2662834607602201,0.2154383659362793,,,
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.20,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.2,3407.0,8a3568eb591e,2026-06-20T13:15:34+0000,autocorrelation__hist_gradient_boosting__large__frac_0.20,autocorrelation__hist_gradient_boosting__large__frac_0.20__seed3407,classical,boosting,True,3407,large,32.0,798.0,0.4337349397590361,0.3273372945139497,0.3273804861808915,20.865259170532227,,,
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.40,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.4,3407.0,8a3568eb591e,2026-06-20T14:22:28+0000,autocorrelation__hist_gradient_boosting__large__frac_0.40,autocorrelation__hist_gradient_boosting__large__frac_0.40__seed3407,classical,boosting,True,3407,large,32.0,1593.0,0.4518072289156626,0.33145629473189,0.3295052455898913,11.636978149414062,,,
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.60,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.6,3407.0,8a3568eb591e,2026-06-20T14:25:58+0000,autocorrelation__hist_gradient_boosting__large__frac_0.60,autocorrelation__hist_gradient_boosting__large__frac_0.60__seed3407,classical,boosting,True,3407,large,32.0,2389.0,0.4889558232931726,0.3527856436107814,0.3536347421109765,14.55824899673462,,,
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_0.80,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",0.8,3407.0,8a3568eb591e,2026-06-20T14:27:38+0000,autocorrelation__hist_gradient_boosting__large__frac_0.80,autocorrelation__hist_gradient_boosting__large__frac_0.80__seed3407,classical,boosting,True,3407,large,32.0,3184.0,0.4949799196787148,0.3541109427571909,0.3542082178904334,15.785862684249878,,,
UT_HAR,autocorrelation__hist_gradient_boosting__large__frac_1.00,autocorrelation__hist_gradient_boosting__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",hist_gradient_boosting,boosting,large,"{'max_iter': 350, 'max_leaf_nodes': 63, 'learning_rate': 0.04}",1.0,3407.0,8a3568eb591e,2026-06-20T14:29:30+0000,autocorrelation__hist_gradient_boosting__large__frac_1.00,autocorrelation__hist_gradient_boosting__large__frac_1.00__seed3407,classical,boosting,True,3407,large,32.0,3977.0,0.4969879518072289,0.3558419289051285,0.35565541266509,17.861626625061035,,,
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.20,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.2,3407.0,8a3568eb591e,2026-06-20T13:11:14+0000,autocorrelation__hist_gradient_boosting__medium__frac_0.20,autocorrelation__hist_gradient_boosting__medium__frac_0.20__seed3407,classical,boosting,True,3407,medium,16.0,798.0,0.4477911646586345,0.3445513248813369,0.3434932834161893,11.40846061706543,,,
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.40,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.4,3407.0,8a3568eb591e,2026-06-20T13:12:19+0000,autocorrelation__hist_gradient_boosting__medium__frac_0.40,autocorrelation__hist_gradient_boosting__medium__frac_0.40__seed3407,classical,boosting,True,3407,medium,16.0,1593.0,0.463855421686747,0.3426224008490154,0.3437513847316051,17.237754106521606,,,
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.60,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.6,3407.0,8a3568eb591e,2026-06-20T13:12:54+0000,autocorrelation__hist_gradient_boosting__medium__frac_0.60,autocorrelation__hist_gradient_boosting__medium__frac_0.60__seed3407,classical,boosting,True,3407,medium,16.0,2389.0,0.4939759036144578,0.3683184089934171,0.3660942914235374,18.328453302383423,,,
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_0.80,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",0.8,3407.0,8a3568eb591e,2026-06-20T13:14:09+0000,autocorrelation__hist_gradient_boosting__medium__frac_0.80,autocorrelation__hist_gradient_boosting__medium__frac_0.80__seed3407,classical,boosting,True,3407,medium,16.0,3184.0,0.4989959839357429,0.3671685534371459,0.3656956395494503,35.61518621444702,,,
UT_HAR,autocorrelation__hist_gradient_boosting__medium__frac_1.00,autocorrelation__hist_gradient_boosting__medium,autocorrelation,medium,"{'lags': 16, 'normalize': True}",hist_gradient_boosting,boosting,medium,"{'max_iter': 200, 'max_leaf_nodes': 31, 'learning_rate': 0.06}",1.0,3407.0,8a3568eb591e,2026-06-20T13:14:48+0000,autocorrelation__hist_gradient_boosting__medium__frac_1.00,autocorrelation__hist_gradient_boosting__medium__frac_1.00__seed3407,classical,boosting,True,3407,medium,16.0,3977.0,0.4989959839357429,0.3686424539680871,0.3664969814931579,19.01612639427185,,,
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.20,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.2,3407.0,8a3568eb591e,2026-06-20T13:10:06+0000,autocorrelation__hist_gradient_boosting__small__frac_0.20,autocorrelation__hist_gradient_boosting__small__frac_0.20__seed3407,classical,boosting,True,3407,small,8.0,798.0,0.4608433734939759,0.3536905485676316,0.3522638343854674,7.104743957519531,,,
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.40,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.4,3407.0,8a3568eb591e,2026-06-20T13:10:20+0000,autocorrelation__hist_gradient_boosting__small__frac_0.40,autocorrelation__hist_gradient_boosting__small__frac_0.40__seed3407,classical,boosting,True,3407,small,8.0,1593.0,0.4759036144578313,0.3514417361933219,0.3516970565150167,7.81201958656311,,,
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.60,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.6,3407.0,8a3568eb591e,2026-06-20T13:10:30+0000,autocorrelation__hist_gradient_boosting__small__frac_0.60,autocorrelation__hist_gradient_boosting__small__frac_0.60__seed3407,classical,boosting,True,3407,small,8.0,2389.0,0.4919678714859438,0.3623458134548812,0.3609707916005579,4.294541597366333,,,
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_0.80,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",0.8,3407.0,8a3568eb591e,2026-06-20T13:10:44+0000,autocorrelation__hist_gradient_boosting__small__frac_0.80,autocorrelation__hist_gradient_boosting__small__frac_0.80__seed3407,classical,boosting,True,3407,small,8.0,3184.0,0.4899598393574297,0.3720189265465379,0.3691796431768724,3.718730926513672,,,
UT_HAR,autocorrelation__hist_gradient_boosting__small__frac_1.00,autocorrelation__hist_gradient_boosting__small,autocorrelation,small,"{'lags': 8, 'normalize': True}",hist_gradient_boosting,boosting,small,"{'max_iter': 100, 'max_leaf_nodes': 15, 'learning_rate': 0.08}",1.0,3407.0,8a3568eb591e,2026-06-20T13:10:55+0000,autocorrelation__hist_gradient_boosting__small__frac_1.00,autocorrelation__hist_gradient_boosting__small__frac_1.00__seed3407,classical,boosting,True,3407,small,8.0,3977.0,0.4889558232931726,0.3661782687790203,0.364159479504846,4.4162421226501465,,,
UT_HAR,autocorrelation__knn__large__frac_0.20,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.2,3407.0,8a3568eb591e,2026-06-20T14:43:12+0000,autocorrelation__knn__large__frac_0.20,autocorrelation__knn__large__frac_0.20__seed3407,classical,instance_based,True,3407,large,32.0,798.0,0.3303212851405622,0.2680047137591843,0.2661535026722211,0.019423484802246,,,
UT_HAR,autocorrelation__knn__large__frac_0.40,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.4,3407.0,8a3568eb591e,2026-06-20T14:43:14+0000,autocorrelation__knn__large__frac_0.40,autocorrelation__knn__large__frac_0.40__seed3407,classical,instance_based,True,3407,large,32.0,1593.0,0.3463855421686747,0.2815872055631755,0.2813734861352138,0.0183217525482177,,,
UT_HAR,autocorrelation__knn__large__frac_0.60,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.6,3407.0,8a3568eb591e,2026-06-20T14:43:17+0000,autocorrelation__knn__large__frac_0.60,autocorrelation__knn__large__frac_0.60__seed3407,classical,instance_based,True,3407,large,32.0,2389.0,0.3714859437751004,0.2920430902617435,0.2921383671350809,0.0220203399658203,,,
UT_HAR,autocorrelation__knn__large__frac_0.80,autocorrelation__knn__large,autocorrelation,large,"{'lags': 32, 'normalize': True}",knn,instance_based,large,"{'n_neighbors': 3, 'weights': 'distance'}",0.8,3407.0,8a3568eb591e,2026-06-20T14:43:21+0000,autocorrelation__knn__large__frac_0.80,autocorrelation__knn__large__frac_0.80__seed3407,classical,instance_based,True,3407,large,32.0,3184.0,0.3835341365461847,0.3019812138457515,0.3019538446467084,0.0262150764465332,,,
